Product_ID,links,title,short_title,price,description,Date_Time
1,https://www.bakingo.com/sites/default/files/styles/might_like/public/black-forest-cake-A.jpg?itok=HmpzFcpL,The Original B.F.,Black Forest Cake,Rs. 425,"We kept this Classic simply unblemished, no twist, no turn, just as original as it can be - Soft, Mushy and Creamy.",2018-02-24 21:04:25.459924
2,https://www.bakingo.com/sites/default/files/styles/might_like/public/chocolate-truffle-cake-A.jpg?itok=clO-rdSC,Delectable Truffle,Choco Truffle Cake,Rs. 475,The devilishly delicious taste of this cake with Cocoa fix leaves you 'High' on chocolate in every good sense.,2018-02-24 21:04:25.459924
3,https://www.bakingo.com/sites/default/files/styles/might_like/public/chocolate-vanilla-cake-A.jpg?itok=Pw5oY9BB,Ebony And Ivory,Choco Vanilla Cake,Rs. 475,You are on the way to enter into the world of sweet Indulgence with this delightful Chocolate-Vanilla treat,2018-02-24 21:04:25.459924
4,https://www.bakingo.com/sites/default/files/styles/might_like/public/butterscotch-cake-A.jpg?itok=05o4eIBg,Butterscotch Delight,Butterscotch Cake,Rs. 425,Take a bite of this extra- delectable delicacy and feel yourself lost into the world of scrumptious caramel.,2018-02-24 21:04:25.459924
5,https://www.bakingo.com/sites/default/files/styles/might_like/public/red-velvet-cake-A.jpg?itok=u6eyLxYy,Red Infatuation,Red Velvet Cake,Rs. 550,"Finished to perfection, we bet, this delicious creamy delight is going to be a Torrid Velvety Affair!",2018-02-24 21:04:25.459924
6,https://www.bakingo.com/sites/default/files/styles/might_like/public/chocolate-chip-cake-A.jpg?itok=6xGGPqod,Choco Drizzle,Chocolate Chip Cake,Rs. 500,"A rich, creamy overload of Chocolate with loads of Choco chips to satisfy every chocoholic's desire!",2018-02-24 21:04:25.459924
7,https://www.bakingo.com/sites/default/files/styles/might_like/public/red-velvet-choco-coffee-cake-for-A.jpg?itok=EVTLHV6M,Magical Moments,Red Velvet Choco Coffee Cake,Rs. 550,"Once you take a slice, you will join the league of our Velvety Coffee Cake followers.",2018-02-24 21:04:25.459924
8,https://www.bakingo.com/sites/default/files/styles/might_like/public/pineapple-cake-A.jpg?itok=iEmh6DvK,Pineapple Classique,Pineapple Cake,Rs. 425,The perfect example of simplicity at its best with the sweet and savoury flavours of Pineapple,2018-02-24 21:04:25.459924
9,https://www.bakingo.com/sites/default/files/styles/might_like/public/snicker-chocolate-cake-A.jpg?itok=Q1a1JwCI,Fuse Fiesta,Snicker Chocolate Cake,Rs. 600,The world is a better place because it has chocolates. Delve into the nutty taste of this sinfully chocolaty cake!,2018-02-24 21:04:25.459924
10,https://www.bakingo.com/sites/default/files/styles/might_like/public/chocolate-strawberry-cake-A.jpg?itok=Wj8ewZcm,Luscious Chocoberry,Choco Strawberry Cake,Rs. 525,This craft of love made with luscious strawberries and rich chocolate will take you on a ride to Heaven.,2018-02-24 21:04:25.459924
11,https://www.bakingo.com/sites/default/files/styles/might_like/public/german-black-forest-cake-A.jpg?itok=vURZMETY,German Gateau,German Black Forest Cake,Rs. 475,Say 'hello' to the Perfect mood lifters! Seductively creamy with an overloaded of chocolate - All-Time favourite!,2018-02-24 21:04:25.459924
12,https://www.bakingo.com/sites/default/files/styles/might_like/public/chocolate-butterscotch-cake-A.jpg?itok=ZOKzVDHZ,Choco-Scotch Sensation,Chocolate Butterscotch Cake,Rs. 500,"Bring some twist in the celebrations with indulgence of rich chocolate, cream and crunchy caramel",2018-02-24 21:04:25.459924
13,https://www.bakingo.com/sites/default/files/styles/might_like/public/ferrero-rocher-cake-A.jpg?itok=5zHveFjm,Rocher-Aholic'S Fantasy,Ferrero Rocher Cake,Rs. 700,Who can resist the Magical spell of Ferrero Rocher cake with a hint of hazelnut and the richness of Chocolate.,2018-02-24 21:04:25.459924
